,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
56,,"Rizal Mahendra","2021-11-20 12:27:03",0,no,no,"Betul makk 
Btw beras di rumah udah abiss makk",UCtZL-arxqt8lceNx03Spnpg,UgyV8GsfIds6G5wffdB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyV8GsfIds6G5wffdB4AaABAg
57,,"Tamam Js","2021-11-20 12:27:05",0,no,no,"setuju Bu...... masyarakat akhire menyuap....NYUAAAAAAP....!!!!!",UC5rms8jQWUtVuVjC9CdoBaA,UgympvrlfwV9vnIEjOl4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgympvrlfwV9vnIEjOl4AaABAg
58,,"Riandy Huey","2021-11-20 12:27:11",0,no,no,"Tolong kepada kepolisian tambahkan trek vertikal loop yaa. Kl bisa double loop kayak trek hot wheel",UC7OI15xHePCqgHQvjB0sSmg,UgyvF7AYiyJyRKJKja14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyvF7AYiyJyRKJKja14AaABAg
59,,"Kokiseng Sih","2021-11-20 12:27:22",0,no,no,"Dibuat seperti itu, agar kalian dapat menghindari hal2 yang tidak memungkinkan. Harus konsentrasi dan cekatan kalau bawa kendaraan. Bukan model emak2 zaman now, bawa motor sen ke mana belok ke mana. Gaya mau ngebut, giliran jalur asal2an",UC6LJY-hPGR2dhRjampn533g,UgxkLZse5W4UBlMArNd4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxkLZse5W4UBlMArNd4AaABAg
60,,"yan Sky hawk","2021-11-20 12:27:26",0,no,no,"Pinter sekali ibu ini. Tolong pak kapolri jadikan ibu ini sbg duta anti korupsi nembak SIM",UCVaYNgY87W0EZinkg3_Di1Q,UgwzAT9BzUiaU0s6kTJ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwzAT9BzUiaU0s6kTJ4AaABAg
61,,"dhen05 official","2021-11-20 12:27:47",0,no,no,"Terimakasih udh mewakili kita semua",UCLnLP2cUvPchs6vEeTgz01w,UgwV6T8oUDBeU3bC5Hl4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwV6T8oUDBeU3bC5Hl4AaABAg
62,,"Tamam Js","2021-11-20 12:27:50",0,no,no,setuju.......,UC5rms8jQWUtVuVjC9CdoBaA,UgzqjjuIpA54lfNGQpZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzqjjuIpA54lfNGQpZ4AaABAg
63,,"Dian Prastiyo","2021-11-20 12:27:52",0,no,no,"gw sih stuju dipermudah ujian sim. tp setelah tau kelakuan emak"" dijalan gw berfikir tes SIM sbnarnya jauh lebih mudah.",UCaKQR4EFkxpbhI0kGWrvr-A,UgyXeYDWKP-tjt6PU5h4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyXeYDWKP-tjt6PU5h4AaABAg
64,,"Merah Putih","2021-11-20 12:28:02",0,no,no,"kok ada benarnya jg ya😁
ah
salam 🇮🇩",UCZMV_MYi4XxSPU8Yn0TLlng,Ugw4DU53f1lMzmmarpJ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugw4DU53f1lMzmmarpJ4AaABAg
65,,"Isriatus Suaida","2021-11-20 12:28:11",0,no,no,"Sehat selalu bunda, udah berani menyuarakan kebenaran",UC-nScB-7nAvKPQhnatnDPBw,UgxtU3WilzPPdKKhx8J4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxtU3WilzPPdKKhx8J4AaABAg
66,,"MUHAMMAD TAUFIK","2021-11-20 12:28:13",0,no,no,"Kok butul sih",UCJE4VGLh0nOhcFouXRuZC9g,Ugzu4z3Bf0orW4we5ml4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugzu4z3Bf0orW4we5ml4AaABAg
67,,"Nur Khamidah","2021-11-20 12:28:14",0,no,no,"bnr banget, kakakku lk 2 aja dah 3× ndak lulus, ujung 2nya nembak 700 rb",UCIwfcSnyb1zhP4Z3t-AELhA,Ugy1Fgyq4kAZRlWInRB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy1Fgyq4kAZRlWInRB4AaABAg
